,Car Name,Car url,Car Brand,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
0,City i VTEC VX Option,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-Option-cars-Kolkata_B12AEE768130A105E188F45083FA4B5D.htm,Honda,5,6.0,14.545000000000002,30000,Petrol,Dealer,117.3,Manual,First Owner,17.8,1497,FWD,5,5
1,Thar CRDe,/used-car-details/used-Mahindra-Thar-2015-2019-CRDe-cars-Kolkata_3838D3FB0BC92634614F1AC0BC73FBEA.htm,Mahindra,2,7.25,16.24,32000,Diesel,Dealer,105.0,Manual,First Owner,16.55,2498,4WD,6,5
2,City V AT,/used-car-details/used-Honda-City-2014-2015-V-AT-cars-Kolkata_430E2EBE7D71D024067BAB194CA18722.htm,Honda,10,3.55,14.545000000000002,48000,Petrol,Dealer,116.3,Automatic,First Owner,15.6,1497,FWD,5,5
3,Verna VTVT 1.4 E,/used-car-details/used-Hyundai-Verna-2017-2020-VTVT-1.4-E-cars-Kolkata_A70E13A2BEDFD1BC597CEED1EB4EBE00.htm,Hyundai,3,7.55,13.005,19225,Petrol,Dealer,98.6,Manual,First Owner,19.1,1368,FWD,5,6
4,Verna 1.4 VTVT,/used-car-details/used-Hyundai-Verna-2015-2016-1.4-VTVT-cars-Kolkata_491FD87853D824F36D899C4A25288459.htm,Hyundai,4,5.9,13.005,23228,Petrol,Dealer,105.5,Manual,First Owner,17.43,1396,FWD,5,5
5,Polo 1.5 TDI Highline Plus,/used-car-details/used-Volkswagen-Polo-2015-2019-1.5-TDI-Highline-Plus-cars-Kolkata_632FF95C6EABF4C92A115083D1329CAB.htm,Volkswagen,6,3.6,9.7158,55200,Diesel,Dealer,88.0,Manual,First Owner,20.14,1498,FWD,5,5
6,Jazz 1.2 V i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-V-i-VTEC-cars-Kolkata_7B0C8C6753B977DDCC08637C1B537039.htm,Honda,4,4.49,9.825,45000,Petrol,Dealer,88.7,Manual,First Owner,18.7,1199,FWD,5,5
7,Tiguan 2.0 TDI Highline,/used-car-details/used-Volkswagen-Tiguan-2.0-TDI-Highline-cars-Kolkata_9D6D87DD22729D13F6AB4D7B3E812881.htm,Volkswagen,3,23.9,64.5022,20000,Diesel,Dealer,141.0,Automatic,First Owner,16.65,1968,AWD,5,7
8,EON Magna Optional,/used-car-details/used-Hyundai-EON-Magna-Optional-cars-Kolkata_1F5718843BB314DD92E0179D82B283B4.htm,Hyundai,3,2.65,7.1519,32000,Petrol,Dealer,55.2,Manual,First Owner,21.1,814,FWD,5,5
9,Innova Crysta 2.8 ZX AT BSIV,/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.8-ZX-AT-BSIV-cars-Kolkata_FE07CB3990ACFE4815F7A870318C1B7C.htm,Toyota,3,17.25,23.87,28000,Diesel,Dealer,171.5,Automatic,First Owner,11.36,2755,RWD,7,6
10,Wagon R VXI Opt,/used-car-details/used-Maruti-Wagon-R-VXI-Opt-cars-Kolkata_75E9E5F0DDEF4305C5A0202860302289.htm,Maruti,3,3.7,6.1899999999999995,27000,Petrol,Dealer,67.05,Manual,First Owner,21.79,998,FWD,5,5
11,Fluence 2.0,/used-car-details/used-Renault-Fluence-2009-2013-2.0-cars-Kolkata_1629166F711616859D61C2C9B36042AF.htm,Renault,10,5.0,13.4942,25000,Petrol,Dealer,135.1,Automatic,First Owner,13.4,1997,FWD,5,6
12,Ciaz 1.3 Alpha,/used-car-details/used-Maruti-Ciaz-1.3-Alpha-cars-Kolkata_C90D43FC96F44D6C1183265AFED40E05.htm,Maruti,3,8.5,22.9401,11011,Diesel,Dealer,88.5,Manual,First Owner,28.09,1248,FWD,5,5
13,Grand i10 Asta Option,/used-car-details/used-Hyundai-Grand-i10-2016-2017-Asta-Option-cars-Kolkata_9960A53B3BA457458B8D17F848ED3C8D.htm,Hyundai,6,3.98,10.7414,33521,Petrol,Dealer,82.0,Manual,First Owner,18.9,1197,FWD,5,5
14,Ecosport 1.5 TDCi Titanium BSIV,/used-car-details/used-Ford-Ecosport-2015-2021-1.5-TDCi-Titanium-BSIV-cars-Kolkata_BA181579B2623921C8A888110BE82CF4.htm,Ford,6,5.49,11.684999999999999,45000,Diesel,Dealer,98.59,Manual,First Owner,22.77,1498,FWD,5,5
15,Verna VTVT 1.4 EX,/used-car-details/used-Hyundai-Verna-2017-2020-VTVT-1.4-EX-cars-Kolkata_17DD8F431F70287FF010FCEF57333BA0.htm,Hyundai,2,8.11,13.005,11500,Petrol,Dealer,98.6,Manual,First Owner,19.1,1368,FWD,5,6
16,Eeco 5 Seater AC BSIV,/used-car-details/used-Maruti-Eeco-5-Seater-AC-BSIV-cars-Kolkata_869123ECF6BE3409A08D1754DE7DDF05.htm,Maruti,2,3.95,4.8149999999999995,4428,Petrol,Dealer,73.0,Manual,First Owner,15.37,1196,RWD,5,5
17,Grand i10 Sportz,/used-car-details/used-Hyundai-Grand-i10-2013-2016-Sportz-cars-Kolkata_18FBBE39DBB383A79D985B1065E32C10.htm,Hyundai,6,3.55,9.5809,22380,Petrol,Dealer,82.0,Manual,First Owner,18.9,1197,FWD,5,5
18,i20 Asta Option BSIV,/used-car-details/used-Hyundai-Elite-i20-2017-2020-Asta-Option-BSIV-cars-Kolkata_F414272B509685879F9C18C307DB6CA5.htm,Hyundai,4,5.15,10.18,42000,Petrol,Dealer,81.86,Manual,First Owner,18.6,1197,FWD,5,5
19,City i VTEC VX,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-cars-Kolkata_C0B85603967BFDAF49DC0C166F92EC3F.htm,Honda,5,6.75,14.545000000000002,58058,Petrol,Dealer,117.3,Manual,First Owner,17.8,1497,FWD,5,5
20,EON 1.0 Era Plus,/used-car-details/used-Hyundai-EON-1.0-Era-Plus-cars-Kolkata_14BCDB2BEA39D08CEF18E56743C00AB7.htm,Hyundai,4,3.5,9.4459,6160,Petrol,Individual,68.05,Manual,First Owner,20.3,998,FWD,5,5
21,i20 1.2 Magna Executive,/used-car-details/used-Hyundai-Elite-i20-2017-2020-1.2-Magna-Executive-cars-Kolkata_0E597B098A7147ED29599B9726756B78.htm,Hyundai,3,5.75,10.18,37033,Petrol,Dealer,81.83,Manual,First Owner,18.6,1197,FWD,5,5
22,Scorpio 2.6 Turbo 7 Str,/used-car-details/used-Mahindra-Scorpio-2006-2009-2.6-Turbo-7-Str-cars-Kolkata_BFC095DB48091852399B98F3EC9C0F30.htm,Mahindra,11,4.5,17.475,55000,Diesel,Dealer,116.6,Manual,Fourth & Above Owner,12.7,2609,2WD,8,5
23,Brio S MT,/used-car-details/used-Honda-Brio-2013-2016-S-MT-cars-Kolkata_52AAABD17501893BE876BDED31249C03.htm,Honda,6,3.49,9.4189,38550,Petrol,Dealer,86.8,Manual,First Owner,19.4,1198,FWD,5,5
24,Swift VXI BSIV,/used-car-details/used-Maruti-Swift-2014-2021-VXI-BSIV-cars-Kolkata_F990487656888B8A8AB41E2A361FA973.htm,Maruti,6,3.74,7.99,41900,Petrol,Dealer,81.8,Manual,Second Owner,22.0,1197,FWD,5,5
25,Baleno 1.3 Alpha,/used-car-details/used-Maruti-Baleno-1.3-Alpha-cars-Kolkata_39457BC58FBE817E4B4CC0E8F108E489.htm,Maruti,6,5.25,14.1689,29000,Diesel,Dealer,74.0,Manual,First Owner,27.39,1248,FWD,5,5
26,City V AT,/used-car-details/used-Honda-City-2014-2015-V-AT-cars-Kolkata_9318B0C18D2D0829A0D1CE71759977A7.htm,Honda,10,3.5,14.545000000000002,48000,Petrol,Dealer,116.3,Automatic,First Owner,15.6,1497,FWD,5,5
27,EON 1.0 Magna Plus Option O,/used-car-details/used-Hyundai-EON-1.0-Magna-Plus-Option-O-cars-Kolkata_CB9A8B933A35B3904D54B08D7CC40177.htm,Hyundai,3,3.27,8.8252,5000,Petrol,Individual,68.05,Manual,Second Owner,20.3,998,FWD,5,5
28,City 1.5 E MT,/used-car-details/used-Honda-City-2008-2011-1.5-E-MT-cars-Kolkata_5213748C026BE81903D038C7A663004D.htm,Honda,11,2.5,14.545000000000002,90000,Petrol,Individual,118.0,Manual,Fourth & Above Owner,17.0,1497,FWD,5,5
29,Alto 800 LXI,/used-car-details/used-Maruti-Alto-800-2012-2016-LXI-cars-Kolkata_4A9D17C96CE5B82A65FB150FEA199654.htm,Maruti,5,2.36,3.99,30000,Petrol,Individual,47.3,Manual,First Owner,22.74,796,FWD,5,5
30,Innova 2.5 V Diesel 7-seater,/used-car-details/used-Toyota-Innova-2004-2011-2.5-V-Diesel-7-seater-cars-Kolkata_339E50FC4D5691D912FBD7B469422895.htm,Toyota,10,5.7,15.3834,70000,Diesel,Dealer,102.0,Manual,First Owner,12.8,2494,,7,5
31,Alto XCITE,/used-car-details/used-Maruti-Alto-XCITE-cars-Kolkata_E023AF4AC8BA7144E0E9541792D9B8FB.htm,Maruti,12,1.4,3.7784,46000,Petrol,Individual,46.3,Manual,First Owner,19.7,796,2WD,5,5
32,Vento Petrol Highline,/used-car-details/used-Volkswagen-Vento-2010-2013-Petrol-Highline-cars-Kolkata_8E7D9D868100B414F47805825531D96F.htm,Volkswagen,9,2.75,13.184999999999999,33900,Petrol,Dealer,103.6,Manual,First Owner,15.04,1598,FWD,5,5
33,Swift Dzire VDi,/used-car-details/used-Maruti-Swift-Dzire-2008-VDi-cars-Kolkata_84EEEFD3B48B51521CB8E3A6AFFA931C.htm,Maruti,10,2.7,7.2869,120000,Diesel,Individual,73.9,Manual,Second Owner,19.3,1248,2 WD,5,5
34,Venture EX,/used-car-details/used-Tata-Venture-EX-cars-Kolkata_BCBE5DA77078A7F0138766FF497CF744.htm,Tata,8,1.96,5.2897,80000,Diesel,Individual,70.0,Manual,First Owner,15.42,1405,FWD,8,5
35,City i DTEC VX,/used-car-details/used-Honda-City-2014-2015-i-DTEC-VX-cars-Kolkata_E31BDD2E2BB87A01A4FB7F99957CAB72.htm,Honda,7,5.5,15.54,60000,Diesel,Individual,98.6,Manual,Second Owner,25.1,1498,FWD,5,6
36,Sumo Gold EX,/used-car-details/used-Tata-Sumo-Gold-EX-cars-Kolkata_4207EBBAE596E5A17167E44A2C5E7A9C.htm,Tata,7,3.28,8.8522,90000,Diesel,Individual,83.83,Manual,First Owner,15.3,2956,RWD,7,5
37,Swift VXI,/used-car-details/used-Maruti-Swift-2011-2014-VXI-cars-Kolkata_CD2B34BE09FFFEDCFAD96EC67E8602BD.htm,Maruti,8,2.79,7.99,90000,Petrol,Individual,85.8,Manual,Second Owner,18.6,1197,FWD,5,5
38,Rover Range Rover Evoque 2.2L Dynamic,/used-car-details/used-Land-Rover-Range-Rover-Evoque-2014-2015-2.2L-Dynamic-cars-Kolkata_F433C3BFFD4D102F2F1008E08CDACBB7.htm,Land Rover,9,21.99,59.3474,50350,Diesel,Dealer,187.7,Automatic,First Owner,12.7,2179,4WD,5,9
39,Amaze VX Diesel BSIV,/used-car-details/used-Honda-Amaze-VX-Diesel-BSIV-cars-Kolkata_987B75BA387F4C2C9B1FB0D2A4B6F6E3.htm,Honda,1,9.4,11.01,1001,Diesel,Dealer,98.63,Manual,First Owner,27.4,1498,FWD,5,5
40,Sail 1.2 Base,/used-car-details/used-Chevrolet-Sail-1.2-Base-cars-Kolkata_6A2D3899DB326F0572A95500A885042B.htm,Chevrolet,5,3.3,8.9062,25000,Petrol,Individual,82.4,Manual,First Owner,18.2,1199,FWD,5,5
41,Sunny XL,/used-car-details/used-Nissan-Sunny-2011-2013-XL-cars-Kolkata_75A1A871AA50C3DEFEC8253EA3CB0229.htm,Nissan,10,2.5,6.7471,80000,Petrol,Individual,97.7,Manual,Second Owner,16.95,1498,FWD,5,5
42,Etios G,/used-car-details/used-Toyota-Etios-2014-2016-G-cars-Kolkata_1A4F26198DE4636530577E0F377A5C48.htm,Toyota,7,3.25,8.7712,44300,Petrol,Dealer,88.73,Manual,First Owner,16.78,1496,FWD,5,5
43,Santro Xing GLS,/used-car-details/used-Hyundai-Santro-Xing-GLS-cars-Kolkata_3127969DB1EE9D964C8671BEB63FF91D.htm,Hyundai,13,1.21,3.2656,80000,Petrol,Individual,62.1,Manual,First Owner,17.92,1086,FWD,5,5
44,i10 Sportz 1.1L,/used-car-details/used-Hyundai-i10-Sportz-1.1L-cars-Kolkata_5DE27883C4439EE1A5BC091335BF7DC3.htm,Hyundai,12,1.9,5.1278,40000,Petrol,Individual,68.05,Manual,Second Owner,19.81,1086,FWD,5,5
45,City S,/used-car-details/used-Honda-City-2011-2013-S-cars-Kolkata_0241B92F632A0DE0E3FE472DBBDDD60E.htm,Honda,9,3.75,14.545000000000002,42285,Petrol,Dealer,116.4,Manual,First Owner,16.8,1497,FWD,5,5
46,Verna 1.6 SX VTVT,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-cars-Kolkata_CBCD766FB981A9196B9AD8E524974182.htm,Hyundai,7,4.49,13.005,42000,Petrol,Dealer,121.3,Manual,First Owner,17.01,1591,FWD,5,5
47,Zen Estilo VXI BSIV,/used-car-details/used-Maruti-Zen-Estilo-VXI-BSIV-cars-Kolkata_8C7F469CB6A4020824E7D6EC4F6DCEAC.htm,Maruti,10,1.5,4.0483,35000,Petrol,Individual,67.1,Manual,Third Owner,19.0,998,FWD,5,5
48,Swift Dzire VDi,/used-car-details/used-Maruti-Swift-Dzire-2008-VDi-cars-Kolkata_EBC88A7E5AD84A8458A239B71FE5BE0C.htm,Maruti,11,2.5,6.7471,60000,Diesel,Individual,73.9,Manual,Second Owner,19.3,1248,2 WD,5,5
49,Cayman S Tiptronic,/used-car-details/used-Porsche-Cayman-S-Tiptronic-cars-Kolkata_D56CD99A9138BE09F2BB0825C6561234.htm,Porsche,4,65.0,175.4244,18111,Petrol,Dealer,325.0,Automatic,First Owner,16.12,3436,RWD,2,7
50,Boxster S tiptronic,/used-car-details/used-Porsche-Boxster-S-tiptronic-cars-Kolkata_1DDB275F7F78C9CE31D56058CCE3002B.htm,Porsche,3,69.0,186.2198,18000,Petrol,Dealer,265.0,Automatic,First Owner,8.6,2706,RWD,2,6
51,City SV MT,/used-car-details/used-Honda-City-2017-2020-SV-MT-cars-Kolkata_4DB747E65719CC6BACB1FF7C138CEBDC.htm,Honda,6,4.25,14.545000000000002,65695,Petrol,Dealer,117.6,Manual,First Owner,17.4,1497,FWD,5,5
52,i10 Era,/used-car-details/used-Hyundai-i10-Era-cars-Kolkata_485E9636ADFA9129D44ED7520BDED2E6.htm,Hyundai,13,1.35,3.6434,50000,Petrol,Individual,68.05,Manual,Second Owner,19.81,1086,FWD,5,5
53,Swift 1.3 VXi,/used-car-details/used-Maruti-Swift-2004-2011-1.3-VXi-cars-Kolkata_44C082E73BEDD150DD13A7899EEF6EF5.htm,Maruti,15,2.0,7.99,54000,Petrol,Individual,97.0140904669263,Manual,First Owner,16.1,1452,,5,5
54,Tavera 2 LS B3,/used-car-details/used-Chevrolet-Tavera-Neo-2-LS-B3-cars-Kolkata_2C0EB08151AF0C7ADBDAA55C5373A7EB.htm,Chevrolet,13,1.9,5.1278,100000,Diesel,Individual,80.0,Manual,First Owner,14.8,2499,,7,5
55,EON Era Plus,/used-car-details/used-Hyundai-EON-Era-Plus-cars-Kolkata_EDA5AE34E1ED29C4F586BF42D264BAF6.htm,Hyundai,4,2.4,6.4772,60000,Petrol,Individual,55.2,Manual,First Owner,21.1,814,FWD,5,5
56,Grand i10 Sportz 1.2,/used-car-details/used-Hyundai-i10-2007-2010-Sportz-1.2-cars-Kolkata_008D98A34EBE14FBC71BB16CA22C19FD.htm,Hyundai,11,2.35,6.3423,46935,Petrol,Dealer,78.9,Manual,First Owner,20.36,1197,FWD,5,5
57,Fortuner 3.0 Diesel,/used-car-details/used-Toyota-Fortuner-2009-2011-3.0-Diesel-cars-Kolkata_CCA2ECC731F3B64A0CCE7B4FF8D216DB.htm,Toyota,10,10.55,39.905,143099,Diesel,Dealer,171.0,Manual,First Owner,11.5,2982,4WD,7,5
58,Hexa XE,/used-car-details/used-Tata-Hexa-2017-2020-XE-cars-Kolkata_E8A721A32886E0DE8B9D6ABB164CC59B.htm,Tata,3,10.0,26.9884,40000,Diesel,Individual,147.94,Manual,First Owner,17.6,2179,AWD,7,5
59,Omni MPI Ambulance BSIV,/used-car-details/used-Maruti-Omni-MPI-Ambulance-BSIV-cars-Kolkata_46478588EBAC14C696A0381973823904.htm,Maruti,6,2.81,7.5837,120000,Petrol,Individual,34.2,Manual,First Owner,16.8,796,RWD,5,4
60,Ertiga VDI,/used-car-details/used-Maruti-Ertiga-VDI-cars-Kolkata_DBA08E367E66C6E4D84FEEA7831FDA37.htm,Maruti,7,5.25,14.1689,46000,Diesel,Dealer,88.5,Manual,First Owner,25.47,1248,FWD,7,5
61,Xcent 1.2 VTVT SX,/used-car-details/used-Hyundai-Xcent-1.2-VTVT-SX-cars-Kolkata_E366B053B3C2867886617BBB83EC59DD.htm,Hyundai,4,3.5,9.4459,120000,Petrol,Individual,81.86,Manual,First Owner,20.14,1197,FWD,5,5
62,Amaze SX i VTEC,/used-car-details/used-Honda-Amaze-SX-i-VTEC-cars-Kolkata_EA8C8ABAF0BEF44EBA28DEF5CE6A9C19.htm,Honda,5,4.0,8.515,52000,Petrol,Individual,86.7,Manual,First Owner,17.8,1198,FWD,5,5
63,3 Series 320d Sport,/used-car-details/used-BMW-3-Series-2015-2019-320d-Sport-cars-Kolkata_3E95F05518D8EB502D368017C382D71A.htm,BMW,3,30.0,53.93,40000,Diesel,Individual,190.0,Automatic,First Owner,22.69,1995,RWD,5,8
64,Xcent 1.1 CRDi S,/used-car-details/used-Hyundai-Xcent-2014-2016-1.1-CRDi-S-cars-Kolkata_5D2424AED07B8F2E672624A6B957B7CC.htm,Hyundai,7,3.7,9.9857,100000,Diesel,Individual,71.0,Manual,First Owner,24.4,1120,FWD ,5,5
65,S-Presso VXI Plus,/used-car-details/used-Maruti-S-Presso-VXI-Plus-cars-Kolkata_D18DD4645E91161833AF32E5A81E7A1D.htm,Maruti,1,4.4,4.915,15000,Petrol,Individual,67.05,Manual,First Owner,21.7,998,FWD,5,5
66,i20 1.2 Sportz Option,/used-car-details/used-Hyundai-i20-2010-2012-1.2-Sportz-Option-cars-Kolkata_4C6578552BD6F11513085960B8810F9E.htm,Hyundai,9,3.25,10.18,15000,Petrol,Individual,80.0,Manual,First Owner,17.0,1197,FWD,5,5
67,XUV500 W11 Option BSIV,/used-car-details/used-Mahindra-XUV500-W11-Option-BSIV-cars-Kolkata_909B11543F062A5CA25443CFAFDCDE3E.htm,Mahindra,2,16.0,20.52,13000,Diesel,Individual,152.87,Manual,First Owner,15.1,2179,FWD,7,6
68,Creta 1.6 E Plus,/used-car-details/used-Hyundai-Creta-2015-2020-1.6-E-Plus-cars-Kolkata_1FC3E92E0362BD4EEB22C9FE60DA8F67.htm,Hyundai,4,8.0,15.625,20000,Petrol,Individual,121.3,Manual,First Owner,15.8,1591,FWD,5,6
69,City i VTEC V,/used-car-details/used-Honda-City-2014-2015-i-VTEC-V-cars-Kolkata_4B7515F5B2BC22BEDF4EAE5168095E4F.htm,Honda,7,4.8,14.545000000000002,50000,Petrol,Individual,117.3,Manual,Second Owner,17.4,1497,FWD,5,5
70,Jazz 1.2 V AT i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-V-AT-i-VTEC-cars-Kolkata_C66A016F3B1B774DAB6B4254D27ACB3B.htm,Honda,4,4.8,9.825,27728,Petrol,Dealer,88.7,Automatic,First Owner,19.0,1199,FWD,5,5
71,Freestyle Titanium Plus Petrol BSIV,/used-car-details/used-Ford-Freestyle-Titanium-Plus-Petrol-BSIV-cars-Kolkata_51B71F511E4CB30B801DC54BC618D840.htm,Ford,2,6.5,8.455,72000,Petrol,Individual,94.68,Manual,First Owner,19.0,1194,FWD,5,5
72,Verna 1.6 SX VTVT,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-cars-Kolkata_171FDD59437D50EAA2428DBDD50408DE.htm,Hyundai,8,3.99,13.005,51000,Petrol,Dealer,121.3,Manual,First Owner,17.01,1591,FWD,5,5
73,CrossPolo 1.5 TDI,/used-car-details/used-Volkswagen-CrossPolo-2013-2015-1.5-TDI-cars-Kolkata_978A3377F318E250BF60E4F4A4DA3F98.htm,Volkswagen,6,4.5,12.1448,44000,Diesel,Individual,88.5,Manual,Second Owner,20.14,1498,FWD,5,5
74,Ecosport 1.5 Diesel Trend Plus BSIV,/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Trend-Plus-BSIV-cars-Kolkata_ECA01097FC695A00F1198C65BBD0FF5A.htm,Ford,4,7.0,11.684999999999999,25000,Diesel,Individual,98.96,Manual,First Owner,23.0,1498,FWD,5,5
75,Octavia Ambition 1.4 TSI MT,/used-car-details/used-Skoda-Octavia-2013-2017-Ambition-1.4-TSI-MT-cars-Kolkata_051BB910BBAD115114A51B51912CA2D5.htm,Skoda,7,6.49,30.575,43000,Petrol,Dealer,138.02,Manual,First Owner,16.8,1395,FWD,5,6
76,Scorpio VLX SE BSIV,/used-car-details/used-Mahindra-Scorpio-2009-2014-VLX-SE-BSIV-cars-Kolkata_5D57BCC14D639DF55259FDDF24F864A3.htm,Mahindra,11,3.95,17.475,100000,Diesel,Individual,120.0,Manual,Fourth & Above Owner,15.4,2179,FWD,8,5
77,EON D Lite Plus,/used-car-details/used-Hyundai-EON-D-Lite-Plus-cars-Kolkata_CD40B5CADDAEA58F39CB24BB1DE0FF79.htm,Hyundai,9,1.81,4.8849,20000,Petrol,Individual,55.2,Manual,First Owner,21.1,814,FWD,5,5
78,Figo Diesel Celebration Edition,/used-car-details/used-Ford-Figo-2012-2015-Diesel-Celebration-Edition-cars-Kolkata_2CE464F180E8921F12B44EDA779F80C2.htm,Ford,8,1.99,9.254999999999999,37000,Diesel,Individual,68.1,Manual,First Owner,20.0,1399,FWD,5,5
79,Sunny Diesel XV,/used-car-details/used-Nissan-Sunny-2011-2013-Diesel-XV-cars-Kolkata_D71261B7BA98D24CBA0884DC8A565277.htm,Nissan,7,3.69,9.9587,37452,Diesel,Dealer,84.8,Manual,First Owner,21.64,1461,FWD,5,5
80,City 1.5 V MT,/used-car-details/used-Honda-City-2008-2011-1.5-V-MT-cars-Kolkata_AF7FC41BE57F80FCE2442BF33E50FE52.htm,Honda,11,2.7,14.545000000000002,70000,Petrol,Individual,118.0,Manual,First Owner,17.0,1497,FWD,5,5
81,City i DTec VX Option,/used-car-details/used-Honda-City-2015-2017-i-DTec-VX-Option-cars-Kolkata_DFFF5894FADB13382DF6D192C412D568.htm,Honda,6,6.5,15.54,48000,Diesel,Dealer,98.6,Manual,First Owner,26.0,1498,FWD,5,6
82,Vento 1.5 TDI Highline,/used-car-details/used-Volkswagen-Vento-2015-2019-1.5-TDI-Highline-cars-Kolkata_0A0BD292F8380DCE64FFC390C3FE7E39.htm,Volkswagen,6,4.7,12.6845,60000,Diesel,Dealer,108.6,Manual,First Owner,22.27,1498,FWD,5,5
83,Boxster S,/used-car-details/used-Porsche-Boxster-S-cars-Kolkata_F2FF4B1BA36AB34DD70BA8E4F409DBB8.htm,Porsche,7,65.0,175.4244,26898,Petrol,Dealer,315.0,Manual,First Owner,14.08,3436,RWD,2,6
84,Jetta 2.0 TDI Trendline,/used-car-details/used-Volkswagen-Jetta-2007-2011-2.0-TDI-Trendline-cars-Kolkata_37F016EC4B545E26A951E88120038D04.htm,Volkswagen,11,2.65,7.1519,79000,Diesel,Dealer,105.0,Manual,First Owner,15.0,1896,,5,5
85,Corolla Altis G,/used-car-details/used-Toyota-Corolla-Altis-2010-2013-G-cars-Kolkata_8B78CC7F3B144E7A1BC237A4C12717EF.htm,Toyota,11,3.25,8.7712,50000,Petrol,Dealer,138.1,Manual,First Owner,14.53,1798,FWD,5,6
86,Aveo 1.4 LS,/used-car-details/used-Chevrolet-Aveo-1.4-LS-cars-Kolkata_C55205B2CD7F9675AD22ED6D19A6BD90.htm,Chevrolet,14,1.49,4.0213,39586,Petrol,Dealer,92.7,Manual,First Owner,14.49,1399,FWD,5,5
87,X1 sDrive 20d xLine,/used-car-details/used-BMW-X1-2015-2020-sDrive-20d-xLine-cars-Kolkata_4274F886E00CC78704C877D26CA54881.htm,BMW,4,24.99,67.4439,40001,Diesel,Dealer,188.0,Automatic,First Owner,20.68,1995,FWD,5,8
88,Ameo 1.2 MPI Highline Plus,/used-car-details/used-Volkswagen-Ameo-1.2-MPI-Highline-Plus-cars-Kolkata_467C66EB2DA6BA784206B698D17E4C39.htm,Volkswagen,2,5.75,15.5183,21000,Petrol,Dealer,73.75,Manual,First Owner,17.0,1198,FWD,5,5
89,Bolero Power Plus Plus AC BSIV PS,/used-car-details/used-Mahindra-Bolero-Power-Plus-Plus-AC-BSIV-PS-cars-Kolkata_410CC6594C9EC0A4BFA6B3E14526C6B4.htm,Mahindra,6,5.5,14.8436,120000,Diesel,Individual,63.0,Manual,Second Owner,15.96,2523,RWD,9,5
90,City GXi,/used-car-details/used-Honda-City-ZX-2005-2008-GXi-cars-Kolkata_3BCFB4C1E0EA54D3C937D411DB198E76.htm,Honda,13,2.2,14.545000000000002,46255,Petrol,Dealer,78.0,Manual,First Owner,17.7,1497,,5,5
91,Xcent 1.2 VTVT SX,/used-car-details/used-Hyundai-Xcent-1.2-VTVT-SX-cars-Kolkata_DDA33A85ACB0A1D9E7EC71166A90E5C5.htm,Hyundai,3,4.99,13.4672,79000,Petrol,Dealer,81.86,Manual,First Owner,20.14,1197,FWD,5,5
92,Omni E MPI STD BSIV,/used-car-details/used-Maruti-Omni-E-MPI-STD-BSIV-cars-Kolkata_5C32662D3AA3ECE646C280B361A6256D.htm,Maruti,5,2.75,7.4218,46000,Petrol,Dealer,34.2,Manual,First Owner,16.8,796,RWD,8,4
93,Grand i10 Magna,/used-car-details/used-Hyundai-Grand-i10-2016-2017-Magna-cars-Kolkata_489EAED27204DEFC0A2D04E0022F2E8C.htm,Hyundai,5,4.0,10.7953,28215,Petrol,Dealer,82.0,Manual,First Owner,18.9,1197,FWD,5,5
94,Figo Diesel ZXI,/used-car-details/used-Ford-Figo-2010-2012-Diesel-ZXI-cars-Kolkata_C63335378A1C900F24158DCB5DE937E8.htm,Ford,11,1.45,9.254999999999999,80000,Diesel,Individual,68.0,Manual,Fourth & Above Owner,20.0,1399,Front Wheel Drive,5,5
95,Tavera 2 LS B3,/used-car-details/used-Chevrolet-Tavera-Neo-2-LS-B3-cars-Kolkata_CEBB49412AE274F83323BF3C09775D44.htm,Chevrolet,14,1.65,4.4531,80000,Diesel,Dealer,80.0,Manual,Second Owner,14.8,2499,,7,5
96,Zen Estilo VXI BSIII,/used-car-details/used-Maruti-Zen-Estilo-VXI-BSIII-cars-Kolkata_F224C9DE4A10BD15424DAEB1D7423F58.htm,Maruti,13,1.0,2.6988,90000,Petrol,Individual,67.1,Manual,First Owner,18.2,998,FWD,5,5
97,Alto LXi,/used-car-details/used-Maruti-Alto-LXi-cars-Kolkata_BD15DA7ACB7F6F390515B50BCDC77FC2.htm,Maruti,10,1.55,4.1832,50000,Petrol,Individual,46.3,Manual,First Owner,19.7,796,FWD,5,5
98,i20 Sportz 1.4 CRDi,/used-car-details/used-Hyundai-Elite-i20-2014-2015-Sportz-1.4-CRDi-cars-Kolkata_2F92CB9F253F8533E2C2A3077E4F182F.htm,Hyundai,5,4.5,10.575,20000,Diesel,Individual,88.73,Manual,Second Owner,22.54,1396,FWD,5,6
