,Car Name,Car url,Car Brand,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
706,5 Series 525i,/used-car-details/used-BMW-5-Series-2010-2013-525i-cars-Kolkata_0EEF35B71B9ECF95B62C1AD7DADDDC04.htm,BMW,13,9.5,25.639,31400,Petrol,Dealer,215.0,Automatic,First Owner,10.8,2497,,5,6
707,Eeco 7 Seater Standard BSIV,/used-car-details/used-Maruti-Eeco-7-Seater-Standard-BSIV-cars-Kolkata_5B5DC47CAF7E26CA8C90A19DCA455344.htm,Maruti,11,2.0,4.8149999999999995,62608,Petrol,Dealer,73.0,Manual,First Owner,15.37,1196,RWD,7,5
708,A6 2.0 TDI Technology,/used-car-details/used-Audi-A6-2011-2015-2.0-TDI-Technology-cars-Kolkata_1C132C3BC706540767658352C848ECDC.htm,Audi,6,22.9,61.8034,18000,Diesel,Dealer,174.33,Automatic,First Owner,17.68,1968,FWD,5,8
709,New Safari Dicor EX 4X2,/used-car-details/used-Tata-Safari-2005-2017-Dicor-EX-4X2-cars-Kolkata_3328AF03F46B2732C8A440650EF48B6B.htm,Tata,14,2.0,20.65,10000,Diesel,Individual,138.1,Manual,Second Owner,13.93,2179,FWD,7,5
710,Zen Estilo LXI BS IV,/used-car-details/used-Maruti-Zen-Estilo-LXI-BS-IV-cars-Kolkata_281F938418783D5CBDEB804A188CE734.htm,Maruti,9,2.1,5.6676,50000,Petrol,Individual,67.1,Manual,First Owner,19.0,998,FWD,5,5
711,Vitara Brezza ZDi AMT,/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-ZDi-AMT-cars-Kolkata_015C76998148D09FAD6051FA26DE7ADF.htm,Maruti,3,8.3,22.4003,16000,Diesel,Dealer,88.5,Automatic,First Owner,24.3,1248,FWD,5,5
712,Polo GT TSI,/used-car-details/used-Volkswagen-Polo-2013-2015-GT-TSI-cars-Kolkata_B787A9E354046301D755B0C523425927.htm,Volkswagen,4,5.99,8.985,29900,Petrol,Dealer,103.6,Automatic,First Owner,17.21,1197,FWD,5,7
713,Zen Estilo VXI BSIV,/used-car-details/used-Maruti-Zen-Estilo-VXI-BSIV-cars-Kolkata_352F715B037993D36CC703F53A925408.htm,Maruti,9,1.65,4.4531,37000,Petrol,Dealer,67.1,Manual,First Owner,19.0,998,FWD,5,5
714,Swift Dzire VXI 1.2 BS IV,/used-car-details/used-Maruti-Dzire-2017-2020-VXI-1.2-BS-IV-cars-Kolkata_DAE27A053546CBE834DC01F9D3077EAB.htm,Maruti,5,5.0,8.34,23260,Petrol,Dealer,81.8,Manual,First Owner,22.0,1197,FWD,5,5
715,Creta 1.4 E Plus,/used-car-details/used-Hyundai-Creta-2015-2020-1.4-E-Plus-cars-Kolkata_803281C26BEC0B7246266089DD77952F.htm,Hyundai,3,8.99,15.835,46182,Diesel,Dealer,88.7,Manual,First Owner,22.1,1396,FWD,5,6
716,Amaze SX i-VTEC,/used-car-details/used-Honda-Amaze-2013-2016-SX-i-VTEC-cars-Kolkata_39796B1803045BC63C536C79CEF87CA3.htm,Honda,7,3.0,8.515,70000,Petrol,Individual,86.7,Manual,First Owner,18.0,1198,FWD,5,5
717,Scorpio S11,/used-car-details/used-Mahindra-Scorpio-S11-cars-Kolkata_CE187E137E7A245DE1629F653D8C7653.htm,Mahindra,1,15.8,17.475,30000,Diesel,Dealer,140.0,Manual,First Owner,18.973914285714287,2179,RWD,7,6
718,City SV MT,/used-car-details/used-Honda-City-2017-2020-SV-MT-cars-Kolkata_381BDB0CFDA39D3A1E288D7535F32D5B.htm,Honda,4,6.25,14.545000000000002,45000,Petrol,Dealer,117.6,Manual,First Owner,17.4,1497,FWD,5,5
719,Ertiga VDI,/used-car-details/used-Maruti-Ertiga-VDI-cars-Kolkata_7F42790CF7D6FB44DB08485F19206A91.htm,Maruti,6,5.5,14.8436,49000,Diesel,Dealer,88.5,Manual,First Owner,25.47,1248,FWD,7,5
720,Grand i10 1.2 Kappa Asta,/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Asta-cars-Kolkata_3CAB9DB87F390AC7C55333C4CE5FF844.htm,Hyundai,4,4.65,12.5496,44000,Petrol,Dealer,81.86,Manual,First Owner,18.9,1197,FWD,5,5
721,Santro Xing GLS,/used-car-details/used-Hyundai-Santro-Xing-GLS-cars-Kolkata_8543C60E1D9197809CC9B610E533AA96.htm,Hyundai,10,1.15,3.1037,57204,Petrol,Dealer,62.1,Manual,First Owner,17.92,1086,FWD,5,5
722,City i VTEC VX Option,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-Option-cars-Kolkata_B00113E4C505965D35F58A9A298C19BD.htm,Honda,5,5.69,14.545000000000002,39568,Petrol,Dealer,117.3,Manual,First Owner,17.8,1497,FWD,5,5
723,Brio 1.2 VX MT,/used-car-details/used-Honda-Brio-1.2-VX-MT-cars-Kolkata_1525070372D2827F713B4E6ED8292A28.htm,Honda,5,3.95,10.6604,36772,Petrol,Dealer,86.8,Manual,First Owner,18.5,1198,FWD,5,5
724,Fortuner 2.8 2WD MT BSIV,/used-car-details/used-Toyota-Fortuner-2016-2021-2.8-2WD-MT-BSIV-cars-Kolkata_7508CFF0F19AD7A4AB1ABA72ACD2BF05.htm,Toyota,1,29.75,39.905,22000,Diesel,Dealer,174.5,Manual,First Owner,14.24,2755,RWD,7,6
725,New C-Class 220 CDI MT,/used-car-details/used-Mercedes-Benz-New-C-Class-220-CDI-MT-cars-Kolkata_16C234CE6807B57FB313753706B38830.htm,Mercedes-Benz,9,12.5,33.7355,48000,Diesel,Dealer,170.0,Manual,First Owner,15.8,2148,RWD,5,6
726,Grand i10 1.2 Kappa Sportz BSIV,/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Sportz-BSIV-cars-Kolkata_17F7D672328036DA70C9F068E61307AC.htm,Hyundai,2,6.2,16.7328,5000,Petrol,Individual,81.86,Manual,First Owner,18.9,1197,FWD,5,5
727,Scorpio Intelli Hybrid S6 Plus,/used-car-details/used-Mahindra-Scorpio-Intelli-Hybrid-S6-Plus-cars-Kolkata_0FBF595B42C6DB98CE52258C97B5E8EA.htm,Mahindra,4,8.5,17.475,100000,Diesel,Individual,120.0,Manual,First Owner,15.4,2179,RWD,7,5
728,Spark 1.0 LS,/used-car-details/used-Chevrolet-Spark-2007-2012-1.0-LS-cars-Kolkata_326F5D4A4A4AFB0D91216E9673FE7001.htm,Chevrolet,11,1.3,3.5085,20143,Petrol,Dealer,62.0,Manual,First Owner,18.0,995,FWD,5,5
729,A4 New  2.0 TDI Multitronic,/used-car-details/used-Audi-A4-2008-2014-New--2.0-TDI-Multitronic-cars-Kolkata_B7C461629FE335E1A33E06AEF6386F45.htm,Audi,10,9.6,25.9088,40000,Diesel,Individual,140.8,Automatic,First Owner,15.2,1968,FWD,5,6
730,Wagon R VXI,/used-car-details/used-Maruti-Wagon-R-VXI-cars-Kolkata_F0DB86C4AAF6607838C53DE4D13AB3ED.htm,Maruti,9,2.5,6.1899999999999995,47000,Petrol,Dealer,67.05,Manual,First Owner,21.79,998,FWD,5,5
731,Swift Dzire 1.2 Vxi BSIV,/used-car-details/used-Maruti-Swift-Dzire-2008-1.2-Vxi-BSIV-cars-Kolkata_45D73B5E34D6F606AEE747DADB2ED9F9.htm,Maruti,9,3.2,8.34,42645,Petrol,Dealer,85.8,Manual,First Owner,17.5,1197,2 WD,5,5
732,3 Series 320d,/used-car-details/used-BMW-3-Series-1995-2012-320d-cars-Kolkata_D1CD87F2E35D82ECC0FA90331665164E.htm,BMW,10,9.25,53.93,47000,Diesel,Dealer,170.0,Automatic,First Owner,13.2,1995,,5,6
733,Creta 1.4 CRDi S,/used-car-details/used-Hyundai-Creta-2015-2020-1.4-CRDi-S-cars-Kolkata_CC219E57084FA39330C8565BC275DBF3.htm,Hyundai,6,6.0,15.835,74000,Diesel,Individual,88.7,Manual,First Owner,21.38,1396,FWD,5,6
734,Alto 800 LXI,/used-car-details/used-Maruti-Alto-800-2012-2016-LXI-cars-Kolkata_15AE04434B8F917898BDE7D02F00AD62.htm,Maruti,8,2.03,3.99,22101,Petrol,Dealer,47.3,Manual,First Owner,22.74,796,FWD,5,5
735,Grand i10 1.2 Kappa Magna BSIV,/used-car-details/used-Hyundai-Grand-i10-1.2-Kappa-Magna-BSIV-cars-Kolkata_15B664A60BAD584417FA2647A8CAA819.htm,Hyundai,3,4.5,12.1448,21307,Petrol,Individual,81.86,Manual,Second Owner,18.9,1197,FWD,5,5
736,KWID 1.0 RXT 02 Anniversary Edition,/used-car-details/used-Renault-KWID-2015-2019-1.0-RXT-02-Anniversary-Edition-cars-Kolkata_3050CBCF8EEBF1D48F1C569A38FEC9CA.htm,Renault,3,3.2,4.995,30000,Petrol,Individual,67.0,Manual,First Owner,23.01,999,FWD,5,5
737,City i DTec VX Option,/used-car-details/used-Honda-City-2015-2017-i-DTec-VX-Option-cars-Kolkata_6B634DE5E1E4491AEC2204CEA1415787.htm,Honda,5,6.59,15.54,38000,Diesel,Dealer,98.6,Manual,First Owner,26.0,1498,FWD,5,6
738,XE Prestige,/used-car-details/used-Jaguar-XE-2016-2019-Prestige-cars-Kolkata_FC73A861CE879AA6F3E3347E1A04A9BB.htm,Jaguar,4,21.9,53.01,20000,Petrol,Dealer,197.13,Automatic,First Owner,13.6,1999,RWD,5,8
739,Verna 1.6 SX VTVT (O),/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-(O)-cars-Kolkata_C87C64F5B4E280A46BEAC8C99AB22DCE.htm,Hyundai,7,4.89,13.005,65000,Petrol,Dealer,121.3,Manual,First Owner,17.1,1591,FWD,5,5
740,Zest Quadrajet 1.3 XMS,/used-car-details/used-Tata-Zest-Quadrajet-1.3-XMS-cars-Kolkata_E51DE8FB693AE62D1EB79742B11C0341.htm,Tata,6,3.75,10.1206,100000,Diesel,Individual,88.7,Manual,First Owner,23.0,1248,FWD,5,5
741,Beat Diesel LS,/used-car-details/used-Chevrolet-Beat-Diesel-LS-cars-Kolkata_041201F9AAE2D24AC52F4FACE69062BC.htm,Chevrolet,7,1.79,4.8309,39568,Diesel,Dealer,56.3,Manual,First Owner,25.44,936,FWD,5,5
742,XUV500 W8 2WD,/used-car-details/used-Mahindra-XUV500-2011-2015-W8-2WD-cars-Kolkata_2AEB73D9516ADD78654F5583BA6DB1E5.htm,Mahindra,9,5.35,20.52,79000,Diesel,Dealer,140.0,Manual,First Owner,15.1,2179,FWD,7,6
743,Esteem Vxi - BSIII,/used-car-details/used-Maruti-Esteem-Vxi---BSIII-cars-Kolkata_BC40FBF6473312C34EACDAE75D9F7AD0.htm,Maruti,16,1.5,4.0483,28000,Petrol,Dealer,85.0,Manual,First Owner,15.9,1298,,5,5
744,i10 Magna,/used-car-details/used-Hyundai-i10-Magna-cars-Kolkata_30A3332D4156AC63BFBD5F43DF151A5E.htm,Hyundai,8,2.65,7.1519,35000,Petrol,Dealer,78.9,Manual,First Owner,20.36,1197,FWD,5,5
745,Vento 1.5 Highline Plus AT 16 Alloy,/used-car-details/used-Volkswagen-Vento-2015-2019-1.5-Highline-Plus-AT-16-Alloy-cars-Kolkata_116390864E4E5E19D5A35E3B2488D16E.htm,Volkswagen,2,8.5,22.9401,24000,Diesel,Dealer,108.5,Automatic,First Owner,21.5,1498,FWD,5,7
746,Vitara Brezza LDi,/used-car-details/used-Maruti-Vitara-Brezza-2016-2020-LDi-cars-Kolkata_E608FE90D6C626F748B00FE79C45EF3D.htm,Maruti,5,5.85,15.7882,40000,Diesel,Dealer,88.5,Manual,First Owner,24.3,1248,FWD,5,5
747,Ciaz VXi Plus,/used-car-details/used-Maruti-Ciaz-2014-2017-VXi-Plus-cars-Kolkata_7D3C8A590A3C95B726B1BB718A38E6FB.htm,Maruti,5,4.5,11.26,38000,Petrol,Dealer,91.1,Manual,First Owner,20.73,1373,FWD,5,5
748,Rapid 1.5 TDI Ambition Plus,/used-car-details/used-Skoda-Rapid-2013-2016-1.5-TDI-Ambition-Plus-cars-Kolkata_E1605E8231C0C3075FD879FC901AF2AA.htm,Skoda,7,4.69,12.6575,60000,Diesel,Individual,103.6,Manual,First Owner,21.14,1498,FWD,5,5
749,Swift LDI,/used-car-details/used-Maruti-Swift-2011-2014-LDI-cars-Kolkata_0FD82B0C72AE8FCD3A16396C1E546F11.htm,Maruti,8,2.95,7.9616,100000,Diesel,Individual,74.0,Manual,Second Owner,22.9,1248,FWD,5,5
750,Innova 2.5 G (Diesel) 8 Seater BS IV,/used-car-details/used-Toyota-Innova-2004-2011-2.5-G-(Diesel)-8-Seater-BS-IV-cars-Kolkata_4F2FD73524911FA302462333E905C275.htm,Toyota,10,6.0,16.193,145000,Diesel,Individual,102.0,Manual,First Owner,12.8,2494,,8,5
751,Alto 800 LXI BSIV,/used-car-details/used-Maruti-Alto-800-LXI-BSIV-cars-Kolkata_6AA29566E55346EF8F71E779952F2CC4.htm,Maruti,1,3.2,3.99,9000,Petrol,Dealer,47.3,Manual,First Owner,24.7,796,FWD,5,5
752,Polo Petrol Comfortline 1.2L,/used-car-details/used-Volkswagen-Polo-2009-2013-Petrol-Comfortline-1.2L-cars-Kolkata_05C584DB63ABC08D85EDD98D4A06E840.htm,Volkswagen,10,2.69,8.985,37256,Petrol,Dealer,73.9,Manual,First Owner,16.47,1198,FWD,5,5
753,Santro Xing XL eRLX Euro II,/used-car-details/used-Hyundai-Santro-Xing-XL-eRLX-Euro-II-cars-Kolkata_31BC670DBAAE5165A014D25F34986814.htm,Hyundai,17,1.15,3.1037,77077,Petrol,Dealer,97.0140904669263,Manual,Second Owner,17.0,1086,,5,5
