,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
0,Honda City i VTEC VX Option,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-Option-cars-Kolkata_B12AEE768130A105E188F45083FA4B5D.htm,2016,6 Lakh*,Rs.  12.47-16.62 Lakh*,"30,000 kms",Petrol,Dealer,117.3bhp@6600rpm,Manual,First Owner,17.8 kmpl,1497 CC,FWD,5,5 Speed
1,Mahindra Thar CRDe,/used-car-details/used-Mahindra-Thar-2015-2019-CRDe-cars-Kolkata_3838D3FB0BC92634614F1AC0BC73FBEA.htm,2019,7.25 Lakh*,Rs.  15.10-17.38 Lakh*,"32,000 kms",Diesel,Dealer,105bhp@3800rpm,Manual,First Owner,16.55 kmpl,2498 CC,4WD,6,5 Speed
2,Honda City V AT,/used-car-details/used-Honda-City-2014-2015-V-AT-cars-Kolkata_430E2EBE7D71D024067BAB194CA18722.htm,2011,3.55 Lakh*,Rs.  12.47-16.62 Lakh*,"48,000 kms",Petrol,Dealer,116.3bhp@6600rpm,Automatic,First Owner,15.6 kmpl,1497 CC,FWD,5,5 Speed AT+ Paddle Shifters
3,Hyundai Verna VTVT 1.4 E,/used-car-details/used-Hyundai-Verna-2017-2020-VTVT-1.4-E-cars-Kolkata_A70E13A2BEDFD1BC597CEED1EB4EBE00.htm,2018,7.55 Lakh*,Rs. 10.30-15.71 Lakh* ,"19,225 kms",Petrol,Dealer,98.6bhp@6000rpm,Manual,First Owner,19.1 kmpl,1368 CC,FWD,5,6 Speed
4,Hyundai Verna 1.4 VTVT,/used-car-details/used-Hyundai-Verna-2015-2016-1.4-VTVT-cars-Kolkata_491FD87853D824F36D899C4A25288459.htm,2017,5.9 Lakh*,Rs.  10.30-15.71 Lakh*,"23,228 kms",Petrol,Dealer,105.5bhp@6300rpm,Manual,First Owner,17.43 kmpl,1396 CC,FWD,5,5 Speed
5,Volkswagen Polo 1.5 TDI Highline Plus,/used-car-details/used-Volkswagen-Polo-2015-2019-1.5-TDI-Highline-Plus-cars-Kolkata_632FF95C6EABF4C92A115083D1329CAB.htm,2015,3.6 Lakh*,,"55,200 kms",Diesel,Dealer,88bhp@4200rpm,Manual,First Owner,20.14 kmpl,1498 CC,FWD,5,5 Speed
6,Honda Jazz 1.2 V i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-V-i-VTEC-cars-Kolkata_7B0C8C6753B977DDCC08637C1B537039.htm,2017,4.49 Lakh*,Rs.  8.60-11.05 Lakh*,"45,000 kms",Petrol,Dealer,88.7bhp@6000rpm,Manual,First Owner,18.7 kmpl,1199 CC,FWD,5,5 Speed
7,Volkswagen Tiguan 2.0 TDI Highline,/used-car-details/used-Volkswagen-Tiguan-2.0-TDI-Highline-cars-Kolkata_9D6D87DD22729D13F6AB4D7B3E812881.htm,2018,23.9 Lakh*,,"20,000 kms",Diesel,Dealer,141bhp@4000rpm,Automatic,First Owner,16.65 kmpl,1968 CC,AWD,5,7 Speed
8,Hyundai EON Magna Optional,/used-car-details/used-Hyundai-EON-Magna-Optional-cars-Kolkata_1F5718843BB314DD92E0179D82B283B4.htm,2018,2.65 Lakh*,,"32,000 kms",Petrol,Dealer,55.2bhp@5500rpm,Manual,First Owner,21.1 kmpl,814 CC,FWD,5,5 Speed
9,Toyota Innova Crysta 2.8 ZX AT BSIV,/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.8-ZX-AT-BSIV-cars-Kolkata_FE07CB3990ACFE4815F7A870318C1B7C.htm,2018,17.25 Lakh*,Rs.  19.76-27.98 Lakh*,"28,000 kms",Diesel,Dealer,171.5bhp@3400rpm,Automatic,First Owner,11.36 kmpl,2755 CC,RWD,7,6 Speed
10,Maruti Wagon R VXI Opt,/used-car-details/used-Maruti-Wagon-R-VXI-Opt-cars-Kolkata_75E9E5F0DDEF4305C5A0202860302289.htm,2018,3.7 Lakh*,Rs.  5.33-7.05 Lakh*,"27,000 kms",Petrol,Dealer,67.05bhp@5500rpm,Manual,First Owner,21.79 kmpl,998 CC,FWD,5,5 Speed
11,Renault Fluence 2.0,/used-car-details/used-Renault-Fluence-2009-2013-2.0-cars-Kolkata_1629166F711616859D61C2C9B36042AF.htm,2011,5 Lakh*,,"25,000 kms",Petrol,Dealer,135.1bhp@6000rpm,Automatic,First Owner,13.4 kmpl,1997 CC,FWD,5,6 Speed
12,Maruti Ciaz 1.3 Alpha,/used-car-details/used-Maruti-Ciaz-1.3-Alpha-cars-Kolkata_C90D43FC96F44D6C1183265AFED40E05.htm,2018,8.5 Lakh*,,"11,011 kms",Diesel,Dealer,88.5bhp@4000rpm,Manual,First Owner,28.09 kmpl,1248 CC,FWD,5,5 Speed
13,Hyundai Grand i10 Asta Option,/used-car-details/used-Hyundai-Grand-i10-2016-2017-Asta-Option-cars-Kolkata_9960A53B3BA457458B8D17F848ED3C8D.htm,2015,3.98 Lakh*,,"33,521 kms",Petrol,Dealer,82bhp@6000rpm,Manual,First Owner,18.9 kmpl,1197 CC,FWD,5,5 Speed
14,Ford Ecosport 1.5 TDCi Titanium BSIV,/used-car-details/used-Ford-Ecosport-2015-2021-1.5-TDCi-Titanium-BSIV-cars-Kolkata_BA181579B2623921C8A888110BE82CF4.htm,2015,5.49 Lakh*,Rs.  10.11-13.26 Lakh*,"45,000 kms",Diesel,Dealer,98.59bhp@3750rpm,Manual,First Owner,22.77 kmpl,1498 CC,FWD,5,5 Speed
15,Hyundai Verna VTVT 1.4 EX,/used-car-details/used-Hyundai-Verna-2017-2020-VTVT-1.4-EX-cars-Kolkata_17DD8F431F70287FF010FCEF57333BA0.htm,2019,8.11 Lakh*,Rs.  10.30-15.71 Lakh*,"11,500 kms",Petrol,Dealer,98.6bhp@6000rpm,Manual,First Owner,19.1 kmpl,1368 CC,FWD,5,6 Speed
16,Maruti Eeco 5 Seater AC BSIV,/used-car-details/used-Maruti-Eeco-5-Seater-AC-BSIV-cars-Kolkata_869123ECF6BE3409A08D1754DE7DDF05.htm,2019,3.95 Lakh*,Rs.  4.59-5.04 Lakh*,"4,428 kms",Petrol,Dealer,73bhp@6000rpm,Manual,First Owner,15.37 kmpl,1196 CC,RWD,5,5 Speed
17,Hyundai Grand i10 Sportz,/used-car-details/used-Hyundai-Grand-i10-2013-2016-Sportz-cars-Kolkata_18FBBE39DBB383A79D985B1065E32C10.htm,2015,3.55 Lakh*,,"22,380 kms",Petrol,Dealer,82bhp@6000rpm,Manual,First Owner,18.9 kmpl,1197 CC,FWD,5,5 Speed
18,Hyundai i20 Asta Option BSIV,/used-car-details/used-Hyundai-Elite-i20-2017-2020-Asta-Option-BSIV-cars-Kolkata_F414272B509685879F9C18C307DB6CA5.htm,2017,5.15 Lakh*,Rs.  7.69-12.67 Lakh*,"42,000 kms",Petrol,Dealer,81.86bhp@6000rpm,Manual,First Owner,18.6 kmpl,1197 CC,FWD,5,5 Speed
19,Honda City i VTEC VX,/used-car-details/used-Honda-City-2015-2017-i-VTEC-VX-cars-Kolkata_C0B85603967BFDAF49DC0C166F92EC3F.htm,2016,6.75 Lakh*,Rs.  12.47-16.62 Lakh*,"58,058 kms",Petrol,Dealer,117.3bhp@6600rpm,Manual,First Owner,17.8 kmpl,1497 CC,FWD,5,5 Speed
20,Hyundai EON 1.0 Era Plus,/used-car-details/used-Hyundai-EON-1.0-Era-Plus-cars-Kolkata_14BCDB2BEA39D08CEF18E56743C00AB7.htm,2017,3.5 Lakh*,,"6,160 kms",Petrol,Individual,68.05bhp@6200rpm,Manual,First Owner,20.3 kmpl,998 CC,FWD,5,5 Speed
21,Hyundai i20 1.2 Magna Executive,/used-car-details/used-Hyundai-Elite-i20-2017-2020-1.2-Magna-Executive-cars-Kolkata_0E597B098A7147ED29599B9726756B78.htm,2018,5.75 Lakh*,Rs.  7.69-12.67 Lakh*,"37,033 kms",Petrol,Dealer,81.83bhp@6000rpm,Manual,First Owner,18.6 kmpl,1197 CC,FWD,5,5 Speed
22,Mahindra Scorpio 2.6 Turbo 7 Str,/used-car-details/used-Mahindra-Scorpio-2006-2009-2.6-Turbo-7-Str-cars-Kolkata_BFC095DB48091852399B98F3EC9C0F30.htm,2010,4.5 Lakh*,Rs.  14.74-20.21 Lakh*,"55,000 kms",Diesel,Dealer,"116.6 @ 3,800 (PS@rpm)",Manual,Fourth & Above Owner,12.7 kmpl,2609 CC,2WD,8,5 Speed
23,Honda Brio S MT,/used-car-details/used-Honda-Brio-2013-2016-S-MT-cars-Kolkata_52AAABD17501893BE876BDED31249C03.htm,2015,3.49 Lakh*,,"38,550 kms",Petrol,Dealer,86.8bhp@6000rpm,Manual,First Owner,19.4 kmpl,1198 CC,FWD,5,5 Speed
24,Maruti Swift VXI BSIV,/used-car-details/used-Maruti-Swift-2014-2021-VXI-BSIV-cars-Kolkata_F990487656888B8A8AB41E2A361FA973.htm,2015,3.74 Lakh*,Rs.  6.48-9.50 Lakh*,"41,900 kms",Petrol,Dealer,81.80bhp@6000rpm,Manual,Second Owner,22.0 kmpl,1197 CC,FWD,5,5
25,Maruti Baleno 1.3 Alpha,/used-car-details/used-Maruti-Baleno-1.3-Alpha-cars-Kolkata_39457BC58FBE817E4B4CC0E8F108E489.htm,2015,5.25 Lakh*,,"29,000 kms",Diesel,Dealer,74bhp@4000rpm,Manual,First Owner,27.39 kmpl,1248 CC,FWD,5,5 Speed
26,Honda City V AT,/used-car-details/used-Honda-City-2014-2015-V-AT-cars-Kolkata_9318B0C18D2D0829A0D1CE71759977A7.htm,2011,3.5 Lakh*,Rs.  12.47-16.62 Lakh*,"48,000 kms",Petrol,Dealer,116.3bhp@6600rpm,Automatic,First Owner,15.6 kmpl,1497 CC,FWD,5,5 Speed AT+ Paddle Shifters
27,Hyundai EON 1.0 Magna Plus Option O,/used-car-details/used-Hyundai-EON-1.0-Magna-Plus-Option-O-cars-Kolkata_CB9A8B933A35B3904D54B08D7CC40177.htm,2018,3.27 Lakh*,,"5,000 kms",Petrol,Individual,68.05bhp@6200rpm,Manual,Second Owner,20.3 kmpl,998 CC,FWD,5,5 Speed
28,Honda City 1.5 E MT,/used-car-details/used-Honda-City-2008-2011-1.5-E-MT-cars-Kolkata_5213748C026BE81903D038C7A663004D.htm,2010,2.5 Lakh*,Rs. 12.47-16.62 Lakh* ,"90,000 kms",Petrol,Individual,"118PS at 6,600 rpm",Manual,Fourth & Above Owner,17.0 kmpl,1497 CC,FWD,5,5 Speed
29,Maruti Alto 800 LXI,/used-car-details/used-Maruti-Alto-800-2012-2016-LXI-cars-Kolkata_4A9D17C96CE5B82A65FB150FEA199654.htm,2016,2.36 Lakh*,Rs.  3.35-4.63 Lakh*,"30,000 kms",Petrol,Individual,47.3bhp@6000rpm,Manual,First Owner,22.74 kmpl,796 CC,FWD,5,5 Speed
30,Toyota Innova 2.5 V Diesel 7-seater,/used-car-details/used-Toyota-Innova-2004-2011-2.5-V-Diesel-7-seater-cars-Kolkata_339E50FC4D5691D912FBD7B469422895.htm,2011,5.7 Lakh*,,"70,000 kms",Diesel,Dealer,"102@3,600 (PS@rpm)",Manual,First Owner,12.8 kmpl,2494 CC,,7,5 Speed
31,Maruti Alto XCITE,/used-car-details/used-Maruti-Alto-XCITE-cars-Kolkata_E023AF4AC8BA7144E0E9541792D9B8FB.htm,2009,1.4 Lakh*,,"46,000 kms",Petrol,Individual,46.3bhp@6200rpm,Manual,First Owner,19.7 kmpl,796 CC,2WD,5,5 Speed
32,Volkswagen Vento Petrol Highline,/used-car-details/used-Volkswagen-Vento-2010-2013-Petrol-Highline-cars-Kolkata_8E7D9D868100B414F47805825531D96F.htm,2012,2.75 Lakh*,Rs.  11.02-15.35 Lakh*,"33,900 kms",Petrol,Dealer,103.6bhp@5250rpm,Manual,First Owner,15.04 kmpl,1598 CC,FWD,5,5 Speed
33,Maruti Swift Dzire VDi,/used-car-details/used-Maruti-Swift-Dzire-2008-VDi-cars-Kolkata_84EEEFD3B48B51521CB8E3A6AFFA931C.htm,2011,2.7 Lakh*,,"1,20,000 kms",Diesel,Individual,73.9bhp@4000rpm,Manual,Second Owner,19.3 kmpl,1248 CC,2 WD,5,5 Speed
34,Tata Venture EX,/used-car-details/used-Tata-Venture-EX-cars-Kolkata_BCBE5DA77078A7F0138766FF497CF744.htm,2013,1.96 Lakh*,,"80,000 kms",Diesel,Individual,70bhp@4500rpm,Manual,First Owner,15.42 kmpl,1405 CC,FWD,8,5 Speed
35,Honda City i DTEC VX,/used-car-details/used-Honda-City-2014-2015-i-DTEC-VX-cars-Kolkata_E31BDD2E2BB87A01A4FB7F99957CAB72.htm,2014,5.5 Lakh*,Rs.  14.24-16.84 Lakh*,"60,000 kms",Diesel,Individual,98.6bhp@3600rpm,Manual,Second Owner,25.1 kmpl,1498 CC,FWD,5,6 Speed 
36,Tata Sumo Gold EX,/used-car-details/used-Tata-Sumo-Gold-EX-cars-Kolkata_4207EBBAE596E5A17167E44A2C5E7A9C.htm,2014,3.28 Lakh*,,"90,000 kms",Diesel,Individual,83.83bhp@3000rpm,Manual,First Owner,15.3 kmpl,2956 CC,RWD,7,5 Speed
37,Maruti Swift VXI,/used-car-details/used-Maruti-Swift-2011-2014-VXI-cars-Kolkata_CD2B34BE09FFFEDCFAD96EC67E8602BD.htm,2013,2.79 Lakh*,Rs.  6.48-9.50 Lakh*,"90,000 kms",Petrol,Individual,85.8bhp@6000rpm,Manual,Second Owner,18.6 kmpl,1197 CC,FWD,5,5 Speed
38,Land Rover Range Rover Evoque 2.2L Dynamic,/used-car-details/used-Land-Rover-Range-Rover-Evoque-2014-2015-2.2L-Dynamic-cars-Kolkata_F433C3BFFD4D102F2F1008E08CDACBB7.htm,2012,21.99 Lakh*,Rs.  75.85 Lakh*,"50,350 kms",Diesel,Dealer,187.7bhp@3500pm,Automatic,First Owner,12.7 kmpl,2179 CC,4WD,5,9 Speed
39,Honda Amaze VX Diesel BSIV,/used-car-details/used-Honda-Amaze-VX-Diesel-BSIV-cars-Kolkata_987B75BA387F4C2C9B1FB0D2A4B6F6E3.htm,2020,9.4 Lakh*,Rs.  9.61-12.41 Lakh*,"1,001 kms",Diesel,Dealer,98.63bhp@3600rpm,Manual,First Owner,27.4 kmpl,1498 CC,FWD,5,5 Speed
40,Chevrolet Sail 1.2 Base,/used-car-details/used-Chevrolet-Sail-1.2-Base-cars-Kolkata_6A2D3899DB326F0572A95500A885042B.htm,2016,3.3 Lakh*,,"25,000 kms",Petrol,Individual,82.4bhp@6000rpm,Manual,First Owner,18.2 kmpl,1199 CC,FWD,5,5 Speed 
41,Nissan Sunny XL,/used-car-details/used-Nissan-Sunny-2011-2013-XL-cars-Kolkata_75A1A871AA50C3DEFEC8253EA3CB0229.htm,2011,2.5 Lakh*,,"80,000 kms",Petrol,Individual,97.7bhp@6000rpm,Manual,Second Owner,16.95 kmpl,1498 CC,FWD,5,5 Speed
42,Toyota Etios G,/used-car-details/used-Toyota-Etios-2014-2016-G-cars-Kolkata_1A4F26198DE4636530577E0F377A5C48.htm,2014,3.25 Lakh*,,"44,300 kms",Petrol,Dealer,88.73bhp@5600rpm,Manual,First Owner,16.78 kmpl,1496 CC,FWD,5,5 Speed
43,Hyundai Santro Xing GLS,/used-car-details/used-Hyundai-Santro-Xing-GLS-cars-Kolkata_3127969DB1EE9D964C8671BEB63FF91D.htm,2008,1.21 Lakh*,,"80,000 kms",Petrol,Individual,62.1bhp@5500rpm,Manual,First Owner,17.92 kmpl,1086 CC,FWD,5,5 Speed
44,Hyundai i10 Sportz 1.1L,/used-car-details/used-Hyundai-i10-Sportz-1.1L-cars-Kolkata_5DE27883C4439EE1A5BC091335BF7DC3.htm,2009,1.9 Lakh*,,"40,000 kms",Petrol,Individual,68.05bhp@5500rpm,Manual,Second Owner,19.81 kmpl,1086 CC,FWD,5,5 Speed
45,Honda City S,/used-car-details/used-Honda-City-2011-2013-S-cars-Kolkata_0241B92F632A0DE0E3FE472DBBDDD60E.htm,2012,3.75 Lakh*,Rs.  12.47-16.62 Lakh*,"42,285 kms",Petrol,Dealer,116.4bhp@6600rpm,Manual,First Owner,16.8 kmpl,1497 CC,FWD,5,5 Speed
46,Hyundai Verna 1.6 SX VTVT,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-cars-Kolkata_CBCD766FB981A9196B9AD8E524974182.htm,2014,4.49 Lakh*,Rs.  10.30-15.71 Lakh*,"42,000 kms",Petrol,Dealer,121.3bhp@6300rpm,Manual,First Owner,17.01 kmpl,1591 CC,FWD,5,5 Speed
47,Maruti Zen Estilo VXI BSIV,/used-car-details/used-Maruti-Zen-Estilo-VXI-BSIV-cars-Kolkata_8C7F469CB6A4020824E7D6EC4F6DCEAC.htm,2011,1.5 Lakh*,,"35,000 kms",Petrol,Individual,67.1bhp@6200rpm,Manual,Third Owner,19.0 kmpl,998 CC,FWD,5,5 Speed
48,Maruti Swift Dzire VDi,/used-car-details/used-Maruti-Swift-Dzire-2008-VDi-cars-Kolkata_EBC88A7E5AD84A8458A239B71FE5BE0C.htm,2010,2.5 Lakh*,,"60,000 kms",Diesel,Individual,73.9bhp@4000rpm,Manual,Second Owner,19.3 kmpl,1248 CC,2 WD,5,5 Speed
49,Porsche Cayman S Tiptronic,/used-car-details/used-Porsche-Cayman-S-Tiptronic-cars-Kolkata_D56CD99A9138BE09F2BB0825C6561234.htm,2017,65 Lakh*,,"18,111 kms",Petrol,Dealer,325bhp@7400rpm,Automatic,First Owner,16.12 kmpl,3436 CC,RWD,2,7 speed
50,Porsche Boxster S tiptronic,/used-car-details/used-Porsche-Boxster-S-tiptronic-cars-Kolkata_1DDB275F7F78C9CE31D56058CCE3002B.htm,2018,69 Lakh*,,"18,000 kms",Petrol,Dealer,265bhp@6700rpm,Automatic,First Owner,8.6 kmpl,2706 CC,RWD,2,6 Speed
51,Honda City SV MT,/used-car-details/used-Honda-City-2017-2020-SV-MT-cars-Kolkata_4DB747E65719CC6BACB1FF7C138CEBDC.htm,2015,4.25 Lakh*,Rs.  12.47-16.62 Lakh*,"65,695 kms",Petrol,Dealer,117.60bhp@6600rpm,Manual,First Owner,17.4 kmpl,1497 CC,FWD,5,5 Speed
52,Hyundai i10 Era,/used-car-details/used-Hyundai-i10-Era-cars-Kolkata_485E9636ADFA9129D44ED7520BDED2E6.htm,2008,1.35 Lakh*,,"50,000 kms",Petrol,Individual,68.05bhp@5500rpm,Manual,Second Owner,19.81 kmpl,1086 CC,FWD,5,5 Speed
53,Maruti Swift 1.3 VXi,/used-car-details/used-Maruti-Swift-2004-2011-1.3-VXi-cars-Kolkata_44C082E73BEDD150DD13A7899EEF6EF5.htm,2006,2 Lakh*,Rs.  6.48-9.50 Lakh*,"54,000 kms",Petrol,Individual,,Manual,First Owner,16.1 kmpl,,,,
54,Chevrolet Tavera 2 LS B3,/used-car-details/used-Chevrolet-Tavera-Neo-2-LS-B3-cars-Kolkata_2C0EB08151AF0C7ADBDAA55C5373A7EB.htm,2008,1.9 Lakh*,,"1,00,000 kms",Diesel,Individual,"80 @ 3,900 (PS@rpm)",Manual,First Owner,14.8 kmpl,2499 CC,,7,5 Speed
55,Hyundai EON Era Plus,/used-car-details/used-Hyundai-EON-Era-Plus-cars-Kolkata_EDA5AE34E1ED29C4F586BF42D264BAF6.htm,2017,2.4 Lakh*,,"60,000 kms",Petrol,Individual,55.2bhp@5500rpm,Manual,First Owner,21.1 kmpl,814 CC,FWD,5,5 Speed
56,Hyundai Grand i10 Sportz 1.2,/used-car-details/used-Hyundai-i10-2007-2010-Sportz-1.2-cars-Kolkata_008D98A34EBE14FBC71BB16CA22C19FD.htm,2010,2.35 Lakh*,,"46,935 kms",Petrol,Dealer,78.9bhp@6000rpm,Manual,First Owner,20.36 kmpl,1197 CC,FWD,5,5 Speed
57,Toyota Fortuner 3.0 Diesel,/used-car-details/used-Toyota-Fortuner-2009-2011-3.0-Diesel-cars-Kolkata_CCA2ECC731F3B64A0CCE7B4FF8D216DB.htm,2011,10.55 Lakh*,Rs.  36.91-42.90 Lakh*,"1,43,099 kms",Diesel,Dealer,171 PS @ 3600 rpm,Manual,First Owner,11.5 kmpl,2982 CC,4WD,7,5 Speed
58,Tata Hexa XE,/used-car-details/used-Tata-Hexa-2017-2020-XE-cars-Kolkata_E8A721A32886E0DE8B9D6ABB164CC59B.htm,2018,10 Lakh*,Rs.  14.14 Lakh*,"40,000 kms",Diesel,Individual,147.94bhp@4000rpm,Manual,First Owner,17.6 kmpl,2179 CC,AWD,7,5 Speed
59,Maruti Omni MPI Ambulance BSIV,/used-car-details/used-Maruti-Omni-MPI-Ambulance-BSIV-cars-Kolkata_46478588EBAC14C696A0381973823904.htm,2015,2.81 Lakh*,,"1,20,000 kms",Petrol,Individual,34.2bhp@5000rpm,Manual,First Owner,16.8 kmpl,796 CC,RWD,5,4 Speed
60,Maruti Ertiga VDI,/used-car-details/used-Maruti-Ertiga-VDI-cars-Kolkata_DBA08E367E66C6E4D84FEEA7831FDA37.htm,2014,5.25 Lakh*,,"46,000 kms",Diesel,Dealer,88.50bhp@4000rpm,Manual,First Owner,25.47 kmpl,1248 CC,FWD,7,5 Speed
61,Hyundai Xcent 1.2 VTVT SX,/used-car-details/used-Hyundai-Xcent-1.2-VTVT-SX-cars-Kolkata_E366B053B3C2867886617BBB83EC59DD.htm,2017,3.5 Lakh*,,"1,20,000 kms",Petrol,Individual,81.86bhp@6000rpm,Manual,First Owner,20.14 kmpl,1197 CC,FWD,5,5 Speed
62,Honda Amaze SX i VTEC,/used-car-details/used-Honda-Amaze-SX-i-VTEC-cars-Kolkata_EA8C8ABAF0BEF44EBA28DEF5CE6A9C19.htm,2016,4 Lakh*,Rs.  7.04-9.99 Lakh*,"52,000 kms",Petrol,Individual,86.7bhp@6000rpm,Manual,First Owner,17.8 kmpl,1198 CC,FWD,5,5 Speed
63,BMW 3 Series 320d Sport,/used-car-details/used-BMW-3-Series-2015-2019-320d-Sport-cars-Kolkata_3E95F05518D8EB502D368017C382D71A.htm,2018,30 Lakh*,Rs.  53.82-54.04 Lakh*,"40,000 kms",Diesel,Individual,190bhp@4000rpm,Automatic,First Owner,22.69 kmpl,1995 CC,RWD,5,8 Speed
64,Hyundai Xcent 1.1 CRDi S,/used-car-details/used-Hyundai-Xcent-2014-2016-1.1-CRDi-S-cars-Kolkata_5D2424AED07B8F2E672624A6B957B7CC.htm,2014,3.7 Lakh*,,"1,00,000 kms",Diesel,Individual,71bhp@4000rpm,Manual,First Owner,24.4 kmpl,1120 CC,FWD ,5,5 Speed 
65,Maruti S-Presso VXI Plus,/used-car-details/used-Maruti-S-Presso-VXI-Plus-cars-Kolkata_D18DD4645E91161833AF32E5A81E7A1D.htm,2020,4.4 Lakh*,Rs.  4.21-5.62 Lakh*,"15,000 kms",Petrol,Individual,67.05bhp@5500rpm,Manual,First Owner,21.7 kmpl,998 CC,FWD,5,5-Speed
66,Hyundai i20 1.2 Sportz Option,/used-car-details/used-Hyundai-i20-2010-2012-1.2-Sportz-Option-cars-Kolkata_4C6578552BD6F11513085960B8810F9E.htm,2012,3.25 Lakh*,Rs.  7.69-12.67 Lakh*,"15,000 kms",Petrol,Individual,80 PS at 5200 rpm,Manual,First Owner,17.0 kmpl,1197 CC,FWD,5,5 Speed
67,Mahindra XUV500 W11 Option BSIV,/used-car-details/used-Mahindra-XUV500-W11-Option-BSIV-cars-Kolkata_909B11543F062A5CA25443CFAFDCDE3E.htm,2019,16 Lakh*,Rs.  18.05-22.99 Lakh*,"13,000 kms",Diesel,Individual,152.87bhp@3750rpm,Manual,First Owner,15.1 kmpl,2179 CC,FWD,7,6 Speed
68,Hyundai Creta 1.6 E Plus,/used-car-details/used-Hyundai-Creta-2015-2020-1.6-E-Plus-cars-Kolkata_1FC3E92E0362BD4EEB22C9FE60DA8F67.htm,2017,8 Lakh*,Rs.  11.36-19.89 Lakh*,"20,000 kms",Petrol,Individual,121.3bhp@6400rpm,Manual,First Owner,15.8 kmpl,1591 CC,FWD,5,6 Speed
69,Honda City i VTEC V,/used-car-details/used-Honda-City-2014-2015-i-VTEC-V-cars-Kolkata_4B7515F5B2BC22BEDF4EAE5168095E4F.htm,2014,4.8 Lakh*,Rs.  12.47-16.62 Lakh*,"50,000 kms",Petrol,Individual,117.3bhp@6600rpm,Manual,Second Owner,17.4 kmpl,1497 CC,FWD,5,5 Speed 
70,Honda Jazz 1.2 V AT i VTEC,/used-car-details/used-Honda-Jazz-2018-2020-1.2-V-AT-i-VTEC-cars-Kolkata_C66A016F3B1B774DAB6B4254D27ACB3B.htm,2017,4.8 Lakh*,Rs.  8.60-11.05 Lakh*,"27,728 kms",Petrol,Dealer,88.7bhp@6000rpm,Automatic,First Owner,19.0 kmpl,1199 CC,FWD,5,5 Speed
71,Ford Freestyle Titanium Plus Petrol BSIV,/used-car-details/used-Ford-Freestyle-Titanium-Plus-Petrol-BSIV-cars-Kolkata_51B71F511E4CB30B801DC54BC618D840.htm,2019,6.5 Lakh*,Rs.  8.10-8.81 Lakh*,"72,000 kms",Petrol,Individual,94.68bhp@6500rpm,Manual,First Owner,19.0 kmpl,1194 CC,FWD,5,5-Speed
72,Hyundai Verna 1.6 SX VTVT,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-cars-Kolkata_171FDD59437D50EAA2428DBDD50408DE.htm,2013,3.99 Lakh*,Rs.  10.30-15.71 Lakh*,"51,000 kms",Petrol,Dealer,121.3bhp@6300rpm,Manual,First Owner,17.01 kmpl,1591 CC,FWD,5,5 Speed
73,Volkswagen CrossPolo 1.5 TDI,/used-car-details/used-Volkswagen-CrossPolo-2013-2015-1.5-TDI-cars-Kolkata_978A3377F318E250BF60E4F4A4DA3F98.htm,2015,4.5 Lakh*,,"44,000 kms",Diesel,Individual,88.5bhp@4200rpm,Manual,Second Owner,20.14 kmpl,1498 CC,FWD,5,5 Speed
74,Ford Ecosport 1.5 Diesel Trend Plus BSIV,/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Trend-Plus-BSIV-cars-Kolkata_ECA01097FC695A00F1198C65BBD0FF5A.htm,2017,7 Lakh*,Rs.  10.11-13.26 Lakh*,"25,000 kms",Diesel,Individual,98.96bhp@3750rpm,Manual,First Owner,23.0 kmpl,1498 CC,FWD,5,5 Speed
75,Skoda Octavia Ambition 1.4 TSI MT,/used-car-details/used-Skoda-Octavia-2013-2017-Ambition-1.4-TSI-MT-cars-Kolkata_051BB910BBAD115114A51B51912CA2D5.htm,2014,6.49 Lakh*,Rs.  28.93-32.22 Lakh*,"43,000 kms",Petrol,Dealer,138.02bhp@4500-6000rpm,Manual,First Owner,16.8 kmpl,1395 CC,FWD,5,6 Speed
76,Mahindra Scorpio VLX SE BSIV,/used-car-details/used-Mahindra-Scorpio-2009-2014-VLX-SE-BSIV-cars-Kolkata_5D57BCC14D639DF55259FDDF24F864A3.htm,2010,3.95 Lakh*,Rs.  14.74-20.21 Lakh*,"1,00,000 kms",Diesel,Individual,"120bhp (86.7kw)@4,000rpm",Manual,Fourth & Above Owner,15.4 kmpl,2179 CC,FWD,8,5 Speed
77,Hyundai EON D Lite Plus,/used-car-details/used-Hyundai-EON-D-Lite-Plus-cars-Kolkata_CD40B5CADDAEA58F39CB24BB1DE0FF79.htm,2012,1.81 Lakh*,,"20,000 kms",Petrol,Individual,55.2bhp@5500rpm,Manual,First Owner,21.1 kmpl,814 CC,FWD,5,5 Speed
