,Car Name,Car url,Year,Selling Price,Current Value,KMs Driven,Fuel,Seller Type,max_power,Transmission,Owner,Mileage,Engine,Drive Type,Seats,Gear Box
677,Maruti Baleno Zeta Diesel,/used-car-details/used-Maruti-Baleno-Zeta-Diesel-cars-Kolkata_9E2E0B3A9472F3542A14018ACCBA3FE8.htm,2016,5.38 Lakh*,,"32,000 kms",Diesel,Dealer,74bhp@4000rpm,Manual,First Owner,27.39 kmpl,1248 CC,FWD,5,5 Speed
678,Honda City i-VTEC V,/used-car-details/used-Honda-City-2017-2020-i-VTEC-V-cars-Kolkata_C1AA67DD610D68925203613F4AB6F6D9.htm,2018,8 Lakh*,Rs.  12.47-16.62 Lakh*,"8,000 kms",Petrol,Dealer,117.6bhp@6600rpm,Manual,First Owner,17.4 kmpl,1497 CC,FWD,5,5 Speed
679,Hyundai i10 Magna 1.1L,/used-car-details/used-Hyundai-i10-Magna-1.1L-cars-Kolkata_9B2213DC2DB8B66F14604771C54FFCDC.htm,2010,1.95 Lakh*,,"32,125 kms",Petrol,Dealer,68.05bhp@5500rpm,Manual,First Owner,19.81 kmpl,1086 CC,FWD,5,5 Speed
680,Hyundai Santa Fe 2WD MT,/used-car-details/used-Hyundai-Santa-Fe-2WD-MT-cars-Kolkata_DADC575F09FDF6EBEA4AFE97216F1353.htm,2014,12.5 Lakh*,,"65,000 kms",Diesel,Dealer,194.3bhp@3800rpm,Manual,First Owner,14.74 kmpl,2199 CC,FWD,7,6 Speed 
681,Hyundai Verna 1.6 SX VTVT,/used-car-details/used-Hyundai-Verna-2011-2014-1.6-SX-VTVT-cars-Kolkata_729A2583341F827E84446D3475B32BED.htm,2012,3.5 Lakh*,Rs.  10.30-15.71 Lakh*,"40,202 kms",Petrol,Dealer,121.3bhp@6300rpm,Manual,First Owner,17.01 kmpl,1591 CC,FWD,5,5 Speed
682,Honda Amaze S i-Dtech,/used-car-details/used-Honda-Amaze-2013-2016-S-i-Dtech-cars-Kolkata_0C57323224473B90227E748DD9A650C8.htm,2013,2.85 Lakh*,Rs.  9.61-12.41 Lakh*,"47,000 kms",Diesel,Dealer,98.6bhp@3600rpm,Manual,First Owner,25.8 kmpl,1498 CC,FWD,5,5 Speed
683,Mahindra Scorpio S3 Plus 9 Seater,/used-car-details/used-Mahindra-Scorpio-S3-Plus-9-Seater-cars-Kolkata_212058BA05A1EDE65E8DDDFCED382A54.htm,2019,9.25 Lakh*,Rs.  14.74-20.21 Lakh*,"51,203 kms",Diesel,Dealer,120bhp@4000rpm,Manual,First Owner,0.0 kmpl,2179 CC,RWD,9,5 Speed
684,Honda Brio S MT,/used-car-details/used-Honda-Brio-2011-2013-S-MT-cars-Kolkata_41C5739ABA64CCFB2BD69CE8E4D30828.htm,2012,2.4 Lakh*,,"40,509 kms",Petrol,Dealer,86.8bhp@6000rpm,Manual,First Owner,19.4 kmpl,1198 CC,FWD,5,5 Speed
685,Mahindra XUV500 W10 2WD,/used-car-details/used-Mahindra-XUV500-W10-2WD-cars-Kolkata_AF7CABBA666E56968C31ECB51780FD2B.htm,2018,12.99 Lakh*,Rs. 18.05-22.99 Lakh* ,"45,000 kms",Diesel,Dealer,140bhp@3750rpm,Manual,First Owner,16.0 kmpl,2179 CC,FWD,7,6 Speed
686,Maruti Swift VXI BSIII,/used-car-details/used-Maruti-Swift-2004-2011-VXI-BSIII-cars-Kolkata_EB6876FC67027F594D5C5A441EAC513C.htm,2008,1.85 Lakh*,Rs.  6.48-9.50 Lakh*,"46,000 kms",Petrol,Dealer,88.2@6000 (PS@rpm),Manual,First Owner,16.1 kmpl,1298 CC,,5,5 Speed
